D,C,B,A
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C1","B2","A2"
"D1","C1","B1","A2"
"D1","C2","B1","A2"
"D1","C2","B2","A1"
"D1","C2","B2","A1"
"D2","C2","B1","A2"
"D2","C1","B2","A2"
"D1","C1","B1","A2"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D1","C1","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B1","A2"
"D2","C1","B1","A2"
"D2","C2","B2","A2"
"D2","C2","B1","A2"
"D2","C2","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B1","A1"
"D2","C1","B2","A2"
"D1","C2","B1","A2"
"D1","C2","B1","A2"
"D2","C2","B1","A2"
"D1","C2","B1","A2"
"D1","C1","B2","A2"
"D1","C1","B1","A2"
"D2","C2","B2","A2"
"D1","C1","B2","A2"
"D1","C2","B1","A2"
"D2","C1","B1","A2"
"D1","C2","B1","A2"
"D2","C1","B2","A2"
"D1","C2","B1","A2"
"D1","C2","B2","A2"
"D2","C2","B2","A1"
"D2","C2","B2","A1"
"D2","C2","B2","A1"
"D2","C2","B1","A1"
"D1","C2","B1","A1"
"D1","C2","B1","A2"
"D1","C1","B1","A2"
"D1","C2","B2","A2"
"D1","C1","B2","A2"
"D1","C1","B1","A2"
"D1","C2","B1","A1"
"D1","C1","B1","A2"
"D1","C2","B2","A2"
"D1","C2","B2","A2"
"D1","C1","B1","A2"
"D1","C2","B1","A1"
"D1","C2","B2","A1"
"D2","C2","B1","A1"
"D2","C2","B1","A1"
"D1","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B2","A2"
"D2","C2","B1","A2"
"D2","C1","B1","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D1","C1","B2","A2"
"D2","C2","B1","A2"
"D1","C1","B1","A2"
"D1","C2","B2","A2"
"D2","C2","B2","A1"
"D2","C1","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A1"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C1","B2","A2"
"D2","C2","B1","A1"
"D1","C2","B1","A1"
"D1","C2","B1","A2"
"D1","C2","B2","A2"
"D2","C2","B2","A2"
"D2","C1","B1","A1"
"D1","C2","B2","A2"
"D1","C2","B1","A1"
"D1","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D2","C2","B1","A2"
"D1","C1","B2","A2"
"D1","C2","B1","A2"
"D1","C2","B1","A2"
"D2","C2","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A1"
"D1","C1","B1","A2"
"D2","C2","B2","A2"
"D1","C1","B2","A1"
"D2","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D2","C2","B1","A2"
"D2","C2","B1","A2"
"D2","C2","B2","A2"
"D1","C1","B2","A2"
"D2","C1","B1","A2"
"D1","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C1","B1","A2"
"D1","C2","B2","A2"
"D1","C1","B1","A2"
"D2","C1","B2","A2"
"D1","C1","B2","A2"
"D2","C1","B1","A2"
"D1","C1","B2","A1"
"D1","C2","B1","A2"
"D1","C1","B1","A2"
"D2","C2","B1","A2"
"D2","C1","B2","A1"
"D1","C1","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B1","A2"
"D2","C2","B1","A2"
"D2","C2","B2","A2"
"D1","C1","B2","A2"
"D2","C1","B1","A1"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D1","C1","B1","A2"
"D2","C2","B2","A1"
"D2","C2","B1","A2"
"D2","C2","B1","A2"
"D2","C2","B1","A2"
"D2","C2","B2","A2"
"D1","C2","B1","A2"
"D1","C1","B2","A2"
"D2","C2","B2","A1"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C1","B1","A1"
"D2","C2","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B1","A2"
"D2","C2","B2","A1"
"D1","C1","B2","A2"
"D2","C2","B2","A2"
"D2","C1","B1","A2"
"D1","C2","B2","A2"
"D1","C2","B2","A1"
"D1","C2","B2","A2"
"D1","C2","B1","A1"
"D1","C1","B1","A2"
"D2","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D2","C2","B2","A2"
"D2","C2","B2","A2"
"D1","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A1"
"D2","C1","B2","A2"
"D1","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B1","A2"
"D2","C2","B1","A1"
"D1","C1","B2","A2"
"D1","C2","B1","A2"
"D1","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B1","A2"
"D1","C1","B1","A1"
"D2","C2","B2","A1"
"D2","C2","B2","A2"
"D2","C2","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D1","C2","B2","A2"
"D1","C1","B1","A2"
"D1","C2","B1","A2"
"D1","C2","B2","A2"
"D1","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D1","C1","B1","A1"
"D2","C2","B2","A2"
"D2","C2","B2","A2"
"D2","C1","B1","A1"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B1","A2"
"D1","C1","B2","A2"
"D1","C2","B2","A1"
"D2","C2","B1","A2"
"D1","C2","B2","A2"
"D1","C2","B2","A1"
"D1","C2","B2","A2"
"D2","C1","B1","A2"
"D2","C1","B1","A2"
"D1","C2","B2","A2"
"D1","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C1","B1","A1"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A1"
"D1","C2","B2","A2"
"D2","C1","B2","A1"
"D1","C2","B2","A2"
"D1","C1","B1","A2"
"D1","C2","B2","A1"
"D2","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C1","B1","A2"
"D1","C1","B1","A2"
"D1","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B1","A2"
"D2","C1","B2","A2"
"D1","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D1","C1","B2","A2"
"D2","C2","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B2","A1"
"D2","C1","B1","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A1"
"D1","C2","B2","A1"
"D2","C2","B2","A1"
"D1","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C1","B2","A2"
"D1","C2","B1","A2"
"D2","C2","B1","A1"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D2","C2","B1","A1"
"D2","C1","B1","A2"
"D2","C1","B1","A2"
"D1","C2","B2","A1"
"D1","C2","B2","A2"
"D1","C1","B2","A2"
"D2","C2","B1","A2"
"D1","C1","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B2","A1"
"D1","C2","B1","A1"
"D2","C2","B1","A2"
"D1","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C1","B1","A1"
"D1","C1","B2","A2"
"D1","C2","B2","A1"
"D2","C2","B1","A2"
"D1","C2","B1","A2"
"D2","C2","B2","A1"
"D1","C2","B2","A2"
"D2","C2","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D1","C2","B2","A2"
"D1","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B1","A2"
"D1","C2","B2","A1"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B1","A2"
"D1","C2","B1","A2"
"D1","C1","B1","A2"
"D1","C2","B1","A2"
"D1","C2","B2","A1"
"D2","C2","B2","A2"
"D2","C2","B2","A2"
"D1","C1","B1","A2"
"D2","C1","B1","A2"
"D1","C2","B2","A2"
"D1","C1","B1","A2"
"D2","C2","B1","A2"
"D1","C2","B1","A2"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D1","C2","B2","A2"
"D2","C1","B1","A2"
"D1","C2","B2","A1"
"D1","C2","B2","A2"
"D2","C1","B1","A2"
"D1","C1","B1","A2"
"D2","C1","B2","A1"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A1"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B1","A2"
"D2","C2","B2","A1"
"D2","C2","B2","A1"
"D1","C1","B1","A2"
"D1","C2","B1","A2"
"D2","C1","B1","A2"
"D1","C1","B2","A2"
"D1","C2","B1","A1"
"D2","C2","B2","A2"
"D2","C2","B1","A2"
"D2","C1","B1","A1"
"D1","C2","B1","A2"
"D2","C1","B1","A2"
"D2","C1","B2","A2"
"D2","C1","B1","A2"
"D1","C1","B1","A1"
"D1","C2","B1","A2"
"D2","C2","B2","A1"
"D1","C2","B2","A2"
"D1","C1","B1","A2"
"D2","C1","B2","A2"
"D2","C1","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C1","B1","A2"
"D2","C1","B2","A1"
"D1","C1","B1","A1"
"D1","C2","B2","A2"
"D2","C2","B2","A1"
"D2","C2","B1","A2"
"D1","C2","B1","A2"
"D2","C1","B2","A1"
"D1","C1","B2","A2"
"D2","C2","B2","A1"
"D1","C2","B1","A2"
"D1","C2","B2","A2"
"D1","C1","B2","A2"
"D1","C1","B2","A2"
"D1","C2","B2","A2"
"D1","C2","B1","A2"
"D1","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B1","A1"
"D1","C2","B2","A2"
"D2","C2","B2","A2"
"D2","C1","B1","A2"
"D2","C1","B2","A2"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B1","A1"
"D2","C2","B2","A1"
"D2","C1","B1","A2"
"D1","C2","B1","A1"
"D1","C1","B2","A2"
"D1","C2","B2","A2"
"D1","C1","B2","A2"
"D1","C2","B1","A2"
"D2","C2","B2","A2"
"D2","C2","B1","A2"
"D1","C1","B2","A1"
"D1","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B1","A2"
"D1","C2","B1","A2"
"D1","C2","B2","A2"
"D2","C2","B2","A2"
"D2","C2","B1","A2"
"D1","C2","B2","A1"
"D1","C1","B1","A1"
"D2","C2","B1","A2"
"D2","C1","B2","A2"
"D1","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C1","B2","A2"
"D2","C1","B2","A1"
"D1","C1","B1","A1"
"D2","C2","B1","A2"
"D2","C1","B2","A2"
"D2","C2","B1","A1"
"D2","C1","B2","A2"
"D1","C2","B2","A1"
"D2","C1","B2","A2"
"D1","C2","B2","A2"
"D1","C1","B2","A2"
"D2","C2","B2","A1"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D2","C2","B1","A2"
"D1","C1","B2","A2"
"D2","C1","B2","A2"
"D1","C2","B1","A2"
"D1","C1","B2","A2"
"D2","C2","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B2","A2"
"D2","C2","B1","A2"
"D2","C1","B1","A2"
"D1","C2","B2","A1"
"D2","C2","B1","A2"
"D1","C2","B2","A1"
"D2","C2","B1","A2"
"D2","C2","B1","A2"
"D1","C1","B2","A1"
"D1","C2","B1","A2"
"D2","C1","B1","A2"
"D1","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B1","A2"
"D2","C2","B2","A2"
"D1","C1","B2","A2"
"D2","C1","B1","A2"
"D1","C1","B2","A1"
"D1","C2","B2","A2"
"D2","C1","B2","A2"
"D1","C2","B1","A2"
"D2","C2","B1","A2"
"D1","C2","B2","A1"
"D2","C1","B2","A2"
"D1","C1","B1","A2"
"D2","C1","B2","A2"
"D1","C1","B2","A2"
"D2","C2","B2","A1"
"D2","C2","B1","A2"
"D1","C1","B2","A2"
"D2","C2","B1","A2"
"D1","C2","B2","A2"
"D1","C1","B2","A1"
"D1","C1","B1","A2"
"D2","C1","B2","A2"
"D2","C1","B2","A1"
"D2","C2","B2","A2"
"D2","C1","B2","A2"
"D1","C1","B2","A2"
"D2","C1","B2","A2"
"D2","C2","B1","A2"
"D1","C2","B2","A1"
"D1","C2","B2","A2"
"D2","C2","B2","A2"
"D1","C2","B1","A1"
"D2","C1","B1","A2"
"D1","C2","B1","A2"
"D2","C2","B1","A1"
"D2","C2","B2","A1"
"D1","C1","B2","A2"
