GIOIELLI,GAS,SESSO,ETA,FRODE
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","SI","M","70","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","30","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","F","30","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","F","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","F","30","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","F","30","NO"
"NO","NO","M","30","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","F","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","30","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","F","30","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","F","30","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"SI","NO","F","30","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","30","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","F","30","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","F","30","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","SI","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","SI","M","30","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","F","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","SI","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","SI","F","70","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","30","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","F","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","30","NO"
"NO","NO","M","30","NO"
"NO","SI","F","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","30","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","F","30","NO"
"NO","NO","F","30","NO"
"NO","NO","F","30","NO"
"SI","NO","F","50","NO"
"NO","NO","M","50","NO"
"NO","NO","M","30","NO"
"NO","NO","M","30","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","70","NO"
"SI","NO","F","50","NO"
"NO","NO","M","30","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"NO","NO","M","50","NO"
"NO","NO","F","70","NO"
"NO","NO","F","30","NO"
"NO","NO","F","70","NO"
"SI","NO","F","50","NO"
"NO","NO","F","70","NO"
"NO","NO","M","70","NO"
"NO","NO","F","70","NO"
"NO","NO","F","30","NO"
"NO","NO","M","30","NO"
"NO","NO","F","30","NO"
"NO","NO","M","70","NO"
